Parsing 105 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2014...
Parsing 163 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2011...
Parsing 92 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2017...
Parsing 125 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2009...
Parsing 127 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2013...
Parsing 129 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2015...
Parsing 147 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2008...
Parsing 0 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0...
Parsing 0 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data...

888 midis read, or 7058.2 minutes of music
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
888 note sequences extracted

Processing training data...
799 note sequences
2,397 stretched note sequences
43,128 quantized, split samples
215,640 transposed samples
0 / 215,640 sequences encoded
50,000 / 215,640 sequences encoded
100,000 / 215,640 sequences encoded
150,000 / 215,640 sequences encoded
200,000 / 215,640 sequences encoded
15695 sequences discarded due to brevity
109595 sequences truncated due to excessive length.
Encoded training sequences!

Processing validation data...
89 note sequences
1,645 quantized, split samples
0 / 1,645 sequences encoded
109 sequences discarded due to brevity
820 sequences truncated due to excessive length.
Encoded validation sequences!

MIDI pipeline runtime:  21.3m
GPU is available
batch 100, loss:  4.96
accuracy:  0.02
batch 200, loss:  4.18
accuracy:  0.02
batch 300, loss:  4.12
accuracy:  0.02
batch 400, loss:  4.15
accuracy:  0.02
batch 500, loss:  4.10
accuracy:  0.02
batch 600, loss:  4.13
accuracy:  0.02
batch 700, loss:  4.14
accuracy:  0.02
batch 800, loss:  3.93
accuracy:  0.02
batch 900, loss:  3.92
accuracy:  0.02
batch 1000, loss:  4.00
accuracy:  0.02
batch 1100, loss:  4.03
accuracy:  0.02
batch 1200, loss:  3.95
accuracy:  0.02
batch 1300, loss:  3.91
accuracy:  0.02
batch 1400, loss:  3.91
accuracy:  0.02
batch 1500, loss:  3.93
accuracy:  0.03
batch 1600, loss:  3.98
accuracy:  0.02
batch 1700, loss:  3.92
accuracy:  0.03
batch 1800, loss:  3.85
accuracy:  0.03
batch 1900, loss:  3.84
accuracy:  0.03
batch 2000, loss:  3.76
accuracy:  0.02
batch 2100, loss:  3.81
accuracy:  0.03
batch 2200, loss:  3.77
accuracy:  0.03
batch 2300, loss:  3.72
accuracy:  0.03
batch 2400, loss:  3.74
accuracy:  0.03
batch 2500, loss:  3.72
accuracy:  0.03
batch 2600, loss:  3.74
accuracy:  0.04
batch 2700, loss:  3.70
accuracy:  0.04
batch 2800, loss:  3.69
accuracy:  0.05
batch 2900, loss:  3.73
accuracy:  0.05
batch 3000, loss:  3.75
accuracy:  0.06
batch 3100, loss:  3.64
accuracy:  0.06
batch 3200, loss:  3.73
accuracy:  0.05
batch 3300, loss:  3.66
accuracy:  0.05
batch 3400, loss:  3.56
accuracy:  0.06
batch 3500, loss:  3.59
accuracy:  0.06
batch 3600, loss:  3.65
accuracy:  0.06
batch 3700, loss:  3.62
accuracy:  0.06
batch 3800, loss:  3.57
accuracy:  0.06
batch 3900, loss:  3.72
accuracy:  0.06
batch 4000, loss:  3.61
accuracy:  0.06
batch 4100, loss:  3.51
accuracy:  0.06
batch 4200, loss:  3.60
accuracy:  0.07
batch 4300, loss:  3.58
accuracy:  0.07
batch 4400, loss:  3.52
accuracy:  0.06
batch 4500, loss:  3.66
accuracy:  0.07
batch 4600, loss:  3.60
accuracy:  0.06
batch 4700, loss:  3.56
accuracy:  0.06
batch 4800, loss:  3.54
accuracy:  0.07
batch 4900, loss:  3.61
accuracy:  0.06
batch 5000, loss:  3.53
accuracy:  0.07
batch 5100, loss:  3.51
accuracy:  0.08
batch 5200, loss:  3.57
accuracy:  0.07
batch 5300, loss:  3.52
accuracy:  0.07
batch 5400, loss:  3.47
accuracy:  0.07
batch 5500, loss:  3.48
accuracy:  0.06
batch 5600, loss:  3.55
accuracy:  0.07
batch 5700, loss:  3.57
accuracy:  0.07
batch 5800, loss:  3.51
accuracy:  0.06
batch 5900, loss:  3.48
accuracy:  0.07
batch 6000, loss:  3.52
accuracy:  0.08
batch 6100, loss:  3.53
accuracy:  0.07
batch 6200, loss:  3.47
accuracy:  0.06
batch 6300, loss:  3.49
accuracy:  0.06
batch 6400, loss:  3.49
accuracy:  0.06
batch 6500, loss:  3.52
accuracy:  0.06
batch 6600, loss:  3.52
accuracy:  0.06
batch 6700, loss:  3.51
accuracy:  0.07
batch 6800, loss:  3.52
accuracy:  0.07
batch 6900, loss:  3.44
accuracy:  0.08
batch 7000, loss:  3.53
accuracy:  0.07
batch 7100, loss:  3.44
accuracy:  0.07
batch 7200, loss:  3.46
accuracy:  0.07
batch 7300, loss:  3.41
accuracy:  0.07
batch 7400, loss:  3.51
accuracy:  0.06
batch 7500, loss:  3.50
accuracy:  0.06
batch 7600, loss:  3.50
accuracy:  0.07
batch 7700, loss:  3.51
accuracy:  0.08
batch 7800, loss:  3.50
accuracy:  0.08
batch 7900, loss:  3.46
accuracy:  0.08
batch 8000, loss:  3.47
accuracy:  0.07
batch 8100, loss:  3.46
accuracy:  0.07
batch 8200, loss:  3.54
accuracy:  0.07
batch 8300, loss:  3.52
accuracy:  0.07
batch 8400, loss:  3.48
accuracy:  0.07
batch 8500, loss:  3.44
accuracy:  0.06
batch 8600, loss:  3.49
accuracy:  0.07
batch 8700, loss:  3.47
accuracy:  0.07
batch 8800, loss:  3.45
accuracy:  0.07
batch 8900, loss:  3.46
accuracy:  0.08
batch 9000, loss:  3.47
accuracy:  0.08
batch 9100, loss:  3.56
accuracy:  0.06
batch 9200, loss:  3.41
accuracy:  0.07
batch 9300, loss:  3.44
accuracy:  0.07
batch 9400, loss:  3.44
accuracy:  0.07
batch 9500, loss:  3.38
accuracy:  0.08
batch 9600, loss:  3.46
accuracy:  0.08
batch 9700, loss:  3.42
accuracy:  0.07
batch 9800, loss:  3.46
accuracy:  0.08
batch 9900, loss:  3.38
accuracy:  0.07
batch 10000, loss:  3.43
accuracy:  0.07
batch 10100, loss:  3.31
accuracy:  0.08
batch 10200, loss:  3.45
accuracy:  0.08
batch 10300, loss:  3.37
accuracy:  0.08
batch 10400, loss:  3.37
accuracy:  0.07
batch 10500, loss:  3.41
accuracy:  0.08
batch 10600, loss:  3.42
accuracy:  0.08
batch 10700, loss:  3.46
accuracy:  0.07
batch 10800, loss:  3.34
accuracy:  0.07
batch 10900, loss:  3.42
accuracy:  0.07
batch 11000, loss:  3.40
accuracy:  0.08
batch 11100, loss:  3.49
accuracy:  0.06
batch 11200, loss:  3.40
accuracy:  0.07
batch 11300, loss:  3.39
accuracy:  0.07
batch 11400, loss:  3.40
accuracy:  0.08
batch 11500, loss:  3.45
accuracy:  0.07
batch 11600, loss:  3.33
accuracy:  0.08
batch 11700, loss:  3.40
accuracy:  0.07
batch 11800, loss:  3.35
accuracy:  0.07
batch 11900, loss:  3.43
accuracy:  0.08
batch 12000, loss:  3.48
accuracy:  0.07
batch 12100, loss:  3.42
accuracy:  0.08
batch 12200, loss:  3.36
accuracy:  0.08
batch 12300, loss:  3.39
accuracy:  0.07
batch 12400, loss:  3.44
accuracy:  0.08
epoch: 1/5 | time: 50m
Checkpoint saved!
validation loss: 3.36
validation accuracy: 0.09
batch 100, loss:  3.38
accuracy:  0.07
batch 200, loss:  3.38
accuracy:  0.07
batch 300, loss:  3.37
accuracy:  0.07
batch 400, loss:  3.37
accuracy:  0.07
batch 500, loss:  3.37
accuracy:  0.07
batch 600, loss:  3.37
accuracy:  0.07
batch 700, loss:  3.37
accuracy:  0.07
batch 800, loss:  3.36
accuracy:  0.07
batch 900, loss:  3.35
accuracy:  0.08
batch 1000, loss:  3.36
accuracy:  0.07
batch 1100, loss:  3.35
accuracy:  0.07
batch 1200, loss:  3.35
accuracy:  0.07
batch 1300, loss:  3.35
accuracy:  0.07
batch 1400, loss:  3.35
accuracy:  0.07
batch 1500, loss:  3.33
accuracy:  0.07
batch 1600, loss:  3.36
accuracy:  0.07
batch 1700, loss:  3.34
accuracy:  0.07
batch 1800, loss:  3.34
accuracy:  0.07
batch 1900, loss:  3.34
accuracy:  0.08
batch 2000, loss:  3.34
accuracy:  0.07
batch 2100, loss:  3.33
accuracy:  0.07
batch 2200, loss:  3.33
accuracy:  0.07
batch 2300, loss:  3.33
accuracy:  0.08
batch 2400, loss:  3.33
accuracy:  0.08
batch 2500, loss:  3.33
accuracy:  0.07
batch 2600, loss:  3.33
accuracy:  0.07
batch 2700, loss:  3.33
accuracy:  0.07
batch 2800, loss:  3.32
accuracy:  0.07
batch 2900, loss:  3.32
accuracy:  0.08
batch 3000, loss:  3.32
accuracy:  0.07
batch 3100, loss:  3.32
accuracy:  0.08
batch 3200, loss:  3.32
accuracy:  0.08
batch 3300, loss:  3.32
accuracy:  0.08
batch 3400, loss:  3.32
accuracy:  0.08
batch 3500, loss:  3.31
accuracy:  0.08
batch 3600, loss:  3.30
accuracy:  0.08
batch 3700, loss:  3.30
accuracy:  0.08
batch 3800, loss:  3.30
accuracy:  0.08
batch 3900, loss:  3.30
accuracy:  0.08
batch 4000, loss:  3.30
accuracy:  0.08
batch 4100, loss:  3.30
accuracy:  0.08
batch 4200, loss:  3.30
accuracy:  0.08
batch 4300, loss:  3.30
accuracy:  0.08
batch 4400, loss:  3.29
accuracy:  0.08
batch 4500, loss:  3.29
accuracy:  0.08
batch 4600, loss:  3.30
accuracy:  0.08
batch 4700, loss:  3.29
accuracy:  0.08
batch 4800, loss:  3.29
accuracy:  0.08
batch 4900, loss:  3.30
accuracy:  0.08
batch 5000, loss:  3.28
accuracy:  0.08
batch 5100, loss:  3.29
accuracy:  0.08
batch 5200, loss:  3.28
accuracy:  0.08
batch 5300, loss:  3.28
accuracy:  0.08
batch 5400, loss:  3.28
